,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
68,190.8875453,60.0143636,44.9543,0.8,4993.0,1662.0,,,14.684,1303.0,,0.356,3.331616166534827,1.0474482433090373,-22.062971823684766,-4.243685112533585,38.93719943014589,0.5688904671695278,0.8195719085031814
69,271.3979337,63.6700064,38.0473,0.8,5000.0,2.06,0.88,5.974,12.4,,1198.48,-0.413,4.736787526174276,1.1112512464458617,0.41169719493117957,-16.870493114488447,34.100058721117826,,
70,88.2511811,-5.9963378,20.2695,0.69,4324.0,0.0428,0.0,,2.85,,3.8728,-1.022,1.540273678968791,-0.10465583767179323,0.6151982216666052,20.149207473118775,-2.1174512044608735,,
71,88.2511811,-5.9963378,20.2695,0.69,4324.0,0.435,0.31,,8.38,,125.94,-1.022,1.540273678968791,-0.10465583767179323,0.6151982216666052,20.149207473118775,-2.1174512044608735,,
72,150.1971964,-9.5165689,41.3342,0.71,4816.0,0.06,0.15,,3.61,,5.6,-0.626,2.621435604444574,-0.16609546079789497,-35.37377259313833,20.261049280205302,-6.833899635934696,,
73,150.1971964,-9.5165689,41.3342,0.72,4746.0,0.68,0.19,,12.5,,237.6,-0.626,2.621435604444574,-0.16609546079789497,-35.37377259313833,20.261049280205302,-6.833899635934696,,
74,164.6191243,-10.7704227,84.4069,0.91,5393.0,0.04,0.02,,14.1,,3.48777,-0.191,2.8731457307848056,-0.18797933794653746,-79.95011259157643,21.993222044665064,-15.773472930788301,,
75,278.3688659,-11.6370481,27.1665,0.64,4550.0,2.36,0.05,,14.1,,1634.0,-0.804,4.858453244997568,-0.20310480455795032,3.8726867461585175,-26.32475879727551,-5.47978958367871,,
76,278.3688659,-11.6370481,27.1665,0.64,4550.0,0.3,0.4,,4.04,,74.2,-0.804,4.858453244997568,-0.20310480455795032,3.8726867461585175,-26.32475879727551,-5.47978958367871,,
77,114.2884692,-13.9066703,925.214,19.17,4545.0,1.66,0.21,,12.5,,714.29999,2.043,1.9947100846041297,-0.2427171847243076,-369.41408587559977,818.6007199424971,-222.36690460210272,1.3628179362162531,1.9633433171842554
78,153.6696689,-15.6428372,589.423,2.35,6935.0,0.0656,0.066,80.78,21.59,2001.0,4.2889731,1.06,2.682041682754533,-0.27301901349345076,-508.7048792496557,251.75277524489542,-158.9319316974611,0.9816498172140428,1.4142135623730951
79,7.1413494,-16.2273254,34.4603,0.74,4714.0,1.34,0.5439,80.0,12.8,,655.57,-0.678,0.12464006006532155,-0.28322025702250586,32.83074321274115,4.113348386412626,-9.629898298582761,,
80,33.3024198,-21.1962147,23.7324,0.75,4051.0,2.63,0.1,,14.0,,1891.0,-0.87,0.5812368743913515,-0.3699437354746221,18.493269638288936,12.148925666237822,-8.580757134528893,,
81,33.3024198,-21.1962147,23.7324,0.75,4051.0,5.9,0.43,33.0,12.9,,6240.0,-0.87,0.5812368743913515,-0.3699437354746221,18.493269638288936,12.148925666237822,-8.580757134528893,,
82,48.3530155,4.7751881,8.60715,0.17,3130.0,0.0185,,87.48,1.82,464.0,2.2907,-2.533,0.8439193237428522,0.08334275474705224,5.699935283573475,6.409397583657284,0.7165134333579186,,
83,224.6208333,10.2286111,23.1,,580.5,2.6,,,12.4,370.0,10037.5,,3.92037310965832,0.17852294160103896,-16.180592689871524,-15.967840661104667,4.102009852017521,,
84,246.934277,-23.98115,,0.24,2320.0,200.0,,,20.849,1800.0,8040000.0,-2.85,4.309816169681706,-0.41855002591463814,,,,,
85,166.6193985,-77.6258725,190.374,,3099.0,210.0,,,12.3,,,,2.908057101517501,-1.3548270598583219,-39.68862084236593,9.440964410310917,-185.95144915443427,,
86,68.4667685,22.8416192,157.998,1.88,3807.0,0.17,0.58,,13.0,,25.2,-0.255,1.1949705385257392,0.3986614615267532,53.4440855263146,135.44528624629805,61.33247231209874,,
87,117.300914,-76.702696,10.8864,0.39,3406.0,7506.0,,,12.442,434.0,402000000.0,-1.732,2.047287164898712,-1.3387145903562845,-1.1484549684327685,2.225003649680031,-10.594532311734795,,
88,166.0375038,-76.4553693,190.72,1.68,4403.0,440.0,,,24.66,2600.0,,-0.102,2.8979011231025966,-1.3343979251131923,-43.34740221178853,10.777588617467302,-185.41565388359763,,
89,102.0798591,-3.1021394,787.909,1.11,5950.0,0.02752,0.0,85.1,16.7,1898.0,1.5089557,0.298,1.7816296412668955,-0.05414254638584138,-164.6479049157752,769.3332261385601,-42.63856056530318,0.520489280301805,0.7498427508107258
90,291.0636813,0.7460143,338.386,0.79,5075.0,0.1055,0.53,88.55,10.87,600.0,13.2406,-0.726,5.080019571660449,0.013020405801960734,121.60743141770764,-315.74880294173073,4.405798548691827,,
91,280.6872998,5.9376586,655.037,1.37,6440.0,0.0436,0.0,83.17,16.03,1657.0,2.99433,0.378,4.898917550042421,0.10363169242935698,120.82411566045651,-640.2213917861641,67.7611536446633,0.5862050525510366,0.8445161615799968
