,pl_name,hostname,ra,dec,sy_dist,st_rad,st_teff,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_eqt,pl_orbper,st_lum,sy_snum,disc_year,ra_rad,dec_rad,X,Y,Z,habitable_zone_inner,habitable_zone_outer,habitable_zone_center_au,habitable_zone_width_au,hz_score,size_score,temp_score,eccentricity_score,habitability_score,snr,habitable
60,BD+20 2457 c,BD+20 2457,154.186782,19.8912626,1539.71,49.0,4137.0,2.01,0.18,,12.4,,621.99,3.17,1,2009,2.6910670089547275,0.34716802474880787,-1303.381967498753,630.4504586697454,523.8650112979369,1.6975918772832832,2.445635311217046,2.071613594250165,0.37402171696688147,0.835267334876117,6.019280276816486e-29,,0.8200000000000001,,385.4477853645326,True
61,BD+20 274 b,BD+20 274,25.9203179,21.0052692,1322.51,17.3,4296.0,1.3,0.21,,13.0,,578.2,1.96,1,2012,0.4523948905186223,0.3666111078077553,1110.4259863345524,539.6805896792437,474.05874118762983,1.3348476249438292,1.9230478952816463,1.6289477601127378,0.29410013516890854,0.0,5.380186160021138e-32,,0.79,,171.11744107636648,True
62,BD+20 594 b,BD+20 594,53.6511231,20.5990205,179.461,1.08,5766.0,0.241,0.0,89.55,2.578,546.0,41.6855,-0.056,1,2016,0.9363887454877869,0.3595207304108086,99.56612794341711,135.3007967756295,63.138982247379566,,,,,,0.28792881486658917,7.229654889580203e-14,1.0,,41.441845283916436,True
63,BD+45 564 b,BD+45 564,32.9470485,45.9242187,53.622,0.81,5004.0,0.83,0.12,2.579,13.6,,307.88,-0.399,1,2021,0.575034475139259,0.8015288227209499,31.301136384467785,20.286092741639276,38.52313832385099,,,,,,3.355088856231146e-35,,0.88,,612.6404289879994,True
64,BD+48 738 b,BD+48 738,40.7102869,49.5869395,871.493,11.0,4414.0,1.0,0.2,,13.9,,392.6,1.69,1,2011,0.7105285458365155,0.8654553602622307,428.26702919159254,368.50155711631595,663.5465342832092,1.23950136601927,1.7856873313329573,1.5125943486761138,0.2730929826568437,0.0,7.320278991059906e-37,,0.8,,307.8131466781737,True
65,BD+48 740 b,BD+48 740,40.7425426,48.9300579,666.589,10.33,4534.0,1.7,0.76,,13.5,,733.0,1.64,1,2018,0.711091514004051,0.8539906135464623,331.8018253426041,285.82350270139506,502.54688231429884,1.2210278829367864,1.7590735125745909,1.4900506977556887,0.2690228148189022,0.2195855121594701,1.1769109439216723e-34,,0.24,,151.44469046141157,True
66,BD+49 828 b,BD+49 828,45.6406187,49.7299481,442.042,7.6,4943.0,4.2,0.35,,13.5,,2590.0,1.47,1,2015,0.796579068962294,0.8679513311908983,199.77142365755648,204.28937758743163,337.28082996039495,1.1560119533826785,1.6654083300081026,1.4107101416953904,0.25469818831271207,0.0,1.1769109439216723e-34,,0.65,,30.54000264796628,True
67,BD+55 362 b,BD+55 362,23.9636676,56.6982282,52.5697,0.9,5012.0,0.78,0.27,0.601,14.0,,265.59,-0.313,1,2021,0.4182449004734875,0.989570762137098,26.37539724661704,11.723048521156123,43.9372497039103,,,,,,2.005008781961654e-37,,0.73,,944.2367245227729,True
68,BD+60 1417 b,BD+60 1417,190.8875453,60.0143636,44.9543,0.8,4993.0,1662.0,,,14.684,1303.0,,0.356,1,2021,3.331616166534827,1.0474482433090373,-22.062971823684766,-4.243685112533585,38.93719943014589,0.5688904671695278,0.8195719085031814,0.6942311878363546,0.12534072066682678,0.0,2.1816049308723865e-41,3.531191557531192e-219,,,0.0002472089601214836,False
69,BD+63 1405 b,BD+63 1405,271.3979337,63.6700064,38.0473,0.8,5000.0,2.06,0.88,5.974,12.4,,1198.48,-0.413,1,2021,4.736787526174276,1.1112512464458617,0.41169719493117957,-16.870493114488447,34.100058721117826,,,,,,6.019280276816486e-29,,0.12,,160.19214547134644,True
